乐观,悲观
暴涨,暗淡
降息,悲观
提振,崩盘
便捷,并不
解除,并未
同比上涨,不畅
便利,不大
进展,不明朗
突破,不能
飙升,不涨反降
井喷,不足
推动,惨淡
不减,差
崛起,持续走低
推进,打击
创新,打压
开放,担忧
完善,倒逼
创造,倒闭
看好,低迷
稳步,低调
刺激,抵制
亢奋,短期
稳步发展,断裂
促进,防范
宽松,放缓
稳健,放慢
打造,风险
扩容,负面
稳妥,尴尬
带动,高企
拉动,告吹
稳中有升,告终
典范,谷底
乐观,观望
向暖,过大
新高,过度
发力,很难
力促,环比下降
新兴,回落
繁华,收缩
利好,积压
宜居,加剧
反弹,煎熬
良好,减半
引领,减弱
放宽,减少
良性,减值
迎合,降温
复苏,紧绷
暖冬,紧张
营造,谨慎
高峰,居高不下
攀升,堪忧
优化,恐怕
高效,亏损
平稳,困境
优惠,困难
共赢,拉低
企稳,冷清
优势,落后
鼓励,盲目
优质,难
鼓舞,难熬
前行,难以
远超,徘徊
好转,泡沫
翘尾,疲软
增幅,疲弱
互惠,偏大
如火如荼,偏离
增强,平淡
环比上涨,瓶颈
上升,破产
增色,齐跌
缓和,缺乏
上涨,锐减
增速,甚微
焕发,失败
深入,失衡
回暖,失去
升高,受制
涨幅,受阻
回升,衰退
升级,缩减
着力,探底
火爆,淘汰
升温,同比下降
正面,透支
机会,瓦解
生机,未达
智慧,无力
机遇,下行
示范,下滑
重磅,下降
积极性,闲置
释放,限制
助力,陷入
极致,萧条
注重,新低
加大,压力
顺利,压制
转型,严重
加快,抑制
腾飞,硬着陆
壮大,有限
加强,遇冷
提高,远低于
走高,遭遇
加速,障碍
提前,争议
健康,直线下跌
提升,制约
缓解,质疑
日光盘,终止
攀高,重压
强心剂,滋生
,阻碍
,阻力
,滑落
,差强人意
,萎缩
,收紧
,收窄
,趋缓
